,0,1,2
215,Lithuania,0,"[0.24266666666666667, 1.0, 1281.0312174273738, 5730.899646810903, 101.12919517522963, '2020-02-21', 41]"
216,Luxembourg,0,"[0.264, 1.0, 4596.860849873138, 20521.35572386276, 514.9083636489456, '2020-02-19', 43]"
217,MS Zaandam,0,"[0.2, 1.0, 8.44490927708627, 44.790521772393966, 16.687790567597485, '2020-02-27', 35]"
218,Madagascar,0,"[0.2, 1.0, 123.4635878418496, 555.7948126837126, 7.362936998946352, '2020-02-24', 38]"
219,Malaysia,0,"[0.264, 1.0, 6907.7324466630635, 29665.287990601584, 735.8320840365085, '2020-02-19', 43]"
220,Maldives,0,"[0.2, 1.0, 40.54208647077004, 222.21656312034855, 13.297376028712579, '2020-02-27', 35]"
221,Mali,0,"[0.2, 1.0, 91.3967777042019, 407.2967010461145, 5.299950046232917, '2020-02-27', 35]"
222,Malta,0,"[0.22133333333333333, 1.0, 460.30455391827786, 2072.8773836729624, 27.320404601264606, '2020-02-21', 41]"
223,Mauritania,0,"[0.2, 1.0, 8.385208756531071, 37.957528743311116, 19.29468895288467, '2020-02-27', 35]"
224,Mauritius,0,"[0.21066666666666667, 1.0, 348.18305122507525, 1549.2493277293622, 20.721663656789996, '2020-02-19', 43]"
225,Mexico,0,"[0.264, 1.0, 3584.2974516948725, 15957.836787899805, 171.32146629008022, '2020-02-21', 41]"
226,Moldova,0,"[0.24266666666666667, 1.0, 1304.9533039411963, 6013.023676287517, 36.40209928024568, '2020-02-19', 43]"
227,Monaco,0,"[0.2, 1.0, 128.19432383519893, 585.6020294131173, 7.337914665921233, '2020-02-24', 38]"
228,Mongolia,0,"[0.2, 1.0, 19.310298721300537, 135.9842642493272, 14.657254960036974, '2020-02-27', 35]"
229,Montenegro,0,"[0.21066666666666667, 1.0, 292.2043681721262, 1328.8396022522534, 17.44830789348841, '2020-02-19', 43]"
230,Morocco,0,"[0.24266666666666667, 1.0, 1587.472841816544, 7133.615030605946, 84.36190465282337, '2020-02-19', 43]"
231,Mozambique,0,"[0.2, 1.0, 10.397750245509949, 91.56692179968518, 16.891449204137253, '2020-02-27', 35]"
232,Namibia,0,"[0.2, 1.0, 14.420400476153217, 114.01074870027868, 15.71951196579248, '2020-02-27', 35]"
233,Nepal,0,"[0.2, 1.0, 5.4565846777907225, 56.728276486773, 18.33826946161995, '2020-02-27', 35]"
234,Netherlands,Aruba,"[0.2, 1.0, 120.33211605327558, 544.319629402491, 7.552068957828889, '2020-02-25', 37]"
235,Netherlands,Curacao,"[0.2, 1.0, 10.672747666750892, 94.57132753407824, 16.607953016591445, '2020-02-27', 35]"
236,Netherlands,Sint Maarten,"[0.2, 1.0, 40.064278648035724, 208.57178383638137, 11.245479652964832, '2020-02-27', 35]"
237,Netherlands,0,"[0.296, 1.0, 31398.566650854635, 135400.44132625722, 3318.460930448617, '2020-02-19', 43]"
238,New Zealand,0,"[0.24266666666666667, 1.0, 1465.8570121340917, 6657.138406498582, 111.0786544121309, '2020-02-19', 43]"
239,Nicaragua,0,"[0.2, 1.0, 8.684818892730057, 33.82479085490935, 19.550488198681382, '2020-02-27', 35]"
240,Niger,0,"[0.232, 1.0, 361.18309353988934, 1654.6763688275441, 24.60786364319273, '2020-02-25', 37]"
241,Nigeria,0,"[0.21066666666666667, 1.0, 346.4164848713993, 1558.636280758195, 18.867338726106958, '2020-02-19', 43]"
242,North Macedonia,0,"[0.232, 1.0, 827.9683936422394, 3794.6199644790313, 48.65901095113839, '2020-02-19', 43]"
243,Norway,0,"[0.27466666666666667, 1.0, 11187.290706547257, 48177.84117965091, 1396.894634712129, '2020-02-19', 43]"
244,Oman,0,"[0.22133333333333333, 1.0, 569.4085091867959, 2567.4470893530356, 15.95098716848994, '2020-02-19', 43]"
245,Pakistan,0,"[0.264, 1.0, 5621.267428206599, 24600.902537203416, 441.93563748015197, '2020-02-19', 43]"
246,Panama,0,"[0.25333333333333335, 1.0, 3038.4884185260216, 13423.152541062485, 182.30123815728095, '2020-02-19', 43]"
247,Papua New Guinea,0,"[0.2, 1.0, 18.244723346471254, 9.919737253483953, 21.337880333245263, '2020-02-27', 35]"
248,Paraguay,0,"[0.2, 1.0, 169.4592562649084, 767.746289882312, 8.18790476787179, '2020-02-21', 41]"
249,Peru,0,"[0.2853333333333333, 1.0, 5265.208562232339, 24317.108465119534, 134.8691082905581, '2020-02-23', 39]"
250,Philippines,0,"[0.264, 1.0, 4990.792175376871, 22120.423625008323, 387.81648086531, '2020-02-19', 43]"
251,Poland,0,"[0.27466666666666667, 1.0, 6331.304325150691, 29068.71151412654, 526.1257535708021, '2020-02-19', 43]"
252,Portugal,0,"[0.2853333333333333, 1.0, 18470.895480124353, 79687.21940684308, 1733.042734454071, '2020-02-19', 43]"
253,Qatar,0,"[0.25333333333333335, 1.0, 3036.2416072981127, 13426.388504679055, 198.68142639603826, '2020-02-19', 43]"
254,Romania,0,"[0.27466666666666667, 1.0, 6453.5234298550595, 28441.710091024463, 481.8474773913398, '2020-02-21', 41]"
255,Russia,0,"[0.2853333333333333, 1.0, 9907.321474666283, 46001.87111134358, 257.00556145306706, '2020-02-19', 43]"
256,Rwanda,0,"[0.2, 1.0, 167.42802886147484, 754.3530775671592, 11.337010782950045, '2020-02-21', 41]"
257,Saint Kitts and Nevis,0,"[0.2, 1.0, 7.619610844324727, 56.55090114426499, 18.520369889840776, '2020-02-27', 35]"
258,Saint Lucia,0,"[0.2, 1.0, 9.642836952065048, 92.3031274174397, 16.719077828276255, '2020-02-27', 35]"
259,Saint Vincent and the Grenadines,0,"[0.2, 1.0, 8.103905498696836, 35.16658413072775, 19.42620704266536, '2020-02-27', 35]"
260,San Marino,0,"[0.22133333333333333, 1.0, 655.1263134589865, 2836.366887634125, 63.71825120427921, '2020-02-21', 41]"
261,Saudi Arabia,0,"[0.264, 1.0, 4189.516692739541, 18960.927984916918, 300.4916858591334, '2020-02-19', 43]"
262,Senegal,0,"[0.21066666666666667, 1.0, 379.6429763507954, 1692.0461338603359, 25.47397812740124, '2020-02-19', 43]"
263,Serbia,0,"[0.264, 1.0, 3193.070266053503, 14407.477408679637, 153.53345016811227, '2020-02-21', 41]"
264,Seychelles,0,"[0.2, 1.0, 13.066157844150316, 92.32744458450698, 16.694712575014556, '2020-02-27', 35]"
265,Sierra Leone,0,"[0.2, 1.0, 12.954249105455329, 24.53654945709858, 20.359079467732503, '2020-02-27', 35]"
266,Singapore,0,"[0.25333333333333335, 1.0, 2854.502118764233, 12715.128393007524, 239.77782685077756, '2020-02-19', 43]"
267,Slovakia,0,"[0.232, 1.0, 912.3301471840721, 4122.100176754357, 66.88293746217026, '2020-02-19', 43]"
268,Slovenia,0,"[0.24266666666666667, 1.0, 1892.3181759101833, 8331.69294719985, 199.7713011671819, '2020-02-19', 43]"
269,Somalia,0,"[0.2, 1.0, 10.840149385638302, 82.31171790450935, 17.231644351821174, '2020-02-27', 35]"
270,South Africa,0,"[0.25333333333333335, 1.0, 2785.9060708482675, 12437.706717359564, 271.49763729292346, '2020-02-19', 43]"
271,Spain,0,"[0.296, 1.0, 248957.6998876396, 991773.8470986803, 42772.42285850497, '2020-02-19', 25]"
272,Sri Lanka,0,"[0.21066666666666667, 1.0, 334.57299986122564, 1482.8543776267097, 28.380092386698106, '2020-02-21', 41]"
273,Sudan,0,"[0.2, 1.0, 7.100606069654809, 87.56203772240195, 16.955334335459817, '2020-02-27', 35]"
274,Suriname,0,"[0.2, 1.0, 11.206676136667117, 78.25416861078129, 17.39414228920781, '2020-02-27', 35]"
275,Sweden,0,"[0.27466666666666667, 1.0, 13087.403518294657, 55664.61299082328, 1323.7465788629938, '2020-02-19', 43]"
276,Switzerland,0,"[0.296, 1.0, 39718.656035840315, 168115.14304509325, 4862.885697583106, '2020-02-19', 43]"
277,Syria,0,"[0.2, 1.0, 17.273082132976487, 117.37052221709158, 15.678612820688937, '2020-02-27', 35]"
278,Taiwan*,0,"[0.22133333333333333, 1.0, 772.3915031692613, 3367.186840092258, 83.55662425468923, '2020-02-19', 43]"
279,Tanzania,0,"[0.2, 1.0, 38.50895005925207, 209.97097639621816, 11.27352863743151, '2020-02-27', 35]"
280,Thailand,0,"[0.25333333333333335, 1.0, 3735.5927243730275, 16184.665859403607, 374.52312200498244, '2020-02-19', 43]"
281,Timor-Leste,0,"[0.2, 1.0, 18.701536674688505, 10.725167344669606, 21.419765541853547, '2020-02-27', 35]"
282,Togo,0,"[0.2, 1.0, 95.26924493584217, 441.6893350920337, 4.584123503218133, '2020-02-26', 36]"
283,Trinidad and Tobago,0,"[0.2, 1.0, 183.4458724913774, 818.592942483891, 16.394783583248103, '2020-02-21', 41]"
284,Tunisia,0,"[0.232, 1.0, 826.5496929867783, 3785.400422035064, 62.49117797248844, '2020-02-19', 43]"
285,Turkey,0,"[0.296, 1.0, 47743.253241991486, 199675.74755148258, 5587.810377969318, '2020-02-19', 43]"
286,Uganda,0,"[0.2, 1.0, 82.31161030465312, 376.3393745630162, 7.983815917440434, '2020-02-27', 35]"
287,Ukraine,0,"[0.264, 1.0, 2212.9730957988504, 10081.283212726727, 83.45895663975341, '2020-02-23', 39]"
288,United Arab Emirates,0,"[0.264, 1.0, 3232.600162334503, 14573.613757222045, 110.63260764014815, '2020-02-21', 41]"
289,United Kingdom,Anguilla,"[0.2, 1.0, 16.429006522434616, 10.320221393938759, 20.740679897937778, '2020-02-27', 35]"
290,United Kingdom,Bermuda,"[0.2, 1.0, 62.58525221934058, 302.3415318126505, 7.351584023576998, '2020-02-27', 35]"
291,United Kingdom,British Virgin Islands,"[0.2, 1.0, 16.373802724593343, 11.284219110023072, 20.872940159900992, '2020-02-27', 35]"
292,United Kingdom,Cayman Islands,"[0.2, 1.0, 50.11241008387287, 256.9443636537679, 8.922828059938803, '2020-02-27', 35]"
293,United Kingdom,Channel Islands,"[0.22133333333333333, 1.0, 431.47315046301657, 1954.7436968397526, 21.530902481133413, '2020-02-21', 41]"
294,United Kingdom,Gibraltar,"[0.2, 1.0, 161.85287463471184, 735.4368911419563, 10.345611504145651, '2020-02-21', 41]"
295,United Kingdom,Isle of Man,"[0.22133333333333333, 1.0, 218.34199791251183, 999.996155720048, 9.240572805658196, '2020-02-26', 36]"
296,United Kingdom,Montserrat,"[0.2, 1.0, 6.947789701912375, 43.411082443579176, 18.273178961842476, '2020-02-27', 35]"
297,United Kingdom,Turks and Caicos Islands,"[0.2, 1.0, 9.421673657173011, 36.061505938145295, 19.54016090179116, '2020-02-27', 35]"
298,United Kingdom,0,"[0.296, 1.0, 85701.33574615937, 349172.61809233535, 12568.962773186404, '2020-02-19', 43]"
299,Uruguay,0,"[0.22133333333333333, 1.0, 701.848758956766, 3075.0245653240613, 60.4311168191426, '2020-02-19', 43]"
300,Uzbekistan,0,"[0.232, 1.0, 639.2717631995604, 2926.836530904698, 14.995862496404085, '2020-02-21', 41]"
301,Venezuela,0,"[0.2, 1.0, 299.03518053984106, 1290.544004160158, 26.326339523583577, '2020-02-19', 43]"
302,Vietnam,0,"[0.21066666666666667, 1.0, 511.75123901585624, 2214.585678871573, 50.098377031677614, '2020-02-19', 43]"
303,West Bank and Gaza,0,"[0.21066666666666667, 1.0, 372.6430521426683, 1663.1151102743006, 22.174891952383337, '2020-02-19', 43]"
304,Zambia,0,"[0.2, 1.0, 62.20092201461729, 301.9572016079272, 9.113498914196208, '2020-02-27', 35]"
305,Zimbabwe,0,"[0.2, 1.0, 5.811822882344726, 70.84007212963277, 17.827477100470347, '2020-02-27', 35]"
