ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,NON_COMPLIANCE,DATE_IMPLEMENTED
4258,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,,22/02/2020
6,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Movement restrictions,Border closure,No,,24/02/2020
4259,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,Yes,,24/02/2020
4260,Afghanistan,AFG,Herat Province,,Asia,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,Yes,,24/02/2020
4261,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Awareness campaigns,No,,24/02/2020
4262,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,General recommendations,Yes,,24/02/2020
8,Afghanistan,AFG,Herat,,Asia,Introduction / extension of measures,Social distancing,Schools closure,No,,01/03/2020
10,Afghanistan,AFG,Herat,,Asia,Introduction / extension of measures,Social distancing,Limit public gatherings,No,,01/03/2020
12,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,,01/03/2020
17,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Governance and socio-economic measures,Limit product imports/exports,No,,01/03/2020
4263,Afghanistan,AFG,Midday Province,,Asia,Introduction / extension of measures,Movement restrictions,Border checks,Yes,,01/03/2020
4264,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,,02/03/2020
4265,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,,05/03/2020
4266,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Other public health measures enforced,No,,07/03/2020
4267,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Awareness campaigns,No,,11/03/2020
5,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Social distancing,Limit public gatherings,No,,12/03/2020
4268,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Social distancing,Schools closure,No,,15/03/2020
4269,Afghanistan,AFG,Herat Province,,Asia,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,Yes,,19/03/2020
4270,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,Yes,,19/03/2020
4271,Afghanistan,AFG,Herat Province,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,,19/03/2020
4272,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,No,,20/03/2020
4273,Afghanistan,AFG,Mazar-e-Sharif,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,,22/03/2020
4274,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Social distancing,Limit public gatherings,No,,22/03/2020
4275,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,,25/03/2020
4276,Afghanistan,AFG,Kabul,,Asia,Introduction / extension of measures,Lockdown,Partial lockdown,Yes,,28/03/2020
4277,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,General recommendations,Yes,,28/03/2020
4278,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,General recommendations,Yes,,28/03/2020
4279,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,,,30/03/2020
4280,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,,,02/04/2020
4281,Afghanistan,AFG,Herat,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,,,03/04/2020
4282,Afghanistan,AFG,Kandahar Province,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,,,07/04/2020
27,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,International flights suspension,Yes,Not applicable,09/03/2020
29,Albania,ALB,,,Europe,Introduction / extension of measures,Social distancing,Schools closure,No,Not applicable,10/03/2020
30,Albania,ALB,,,Europe,Introduction / extension of measures,Social distancing,Limit public gatherings,No,Not applicable,10/03/2020
31,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,Checkpoints within the country,Yes,Not applicable,10/03/2020
32,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,Not applicable,10/03/2020
35,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,Awareness campaigns,No,Not applicable,11/03/2020
34,Albania,ALB,,,Europe,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,No,Not applicable,12/03/2020
932,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,Border closure,Yes,,14/03/2020
28,Albania,ALB,Tirana and Durres,,Europe,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,No,Not applicable,16/03/2020
925,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,No,,19/03/2020
926,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,,19/03/2020
931,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,,20/03/2020
1938,Albania,ALB,,,Europe,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Yes,Fines,22/03/2020
2001,Albania,ALB,,,Europe,Introduction / extension of measures,Social distancing,Limit public gatherings,Yes,Fines,22/03/2020
2002,Albania,ALB,,,Europe,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,Fines,22/03/2020
2003,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Fines,22/03/2020
2004,Albania,ALB,,,Europe,Introduction / extension of measures,Public health measures,General recommendations,Yes,Fines,22/03/2020
1939,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,International flights suspension,Yes,,23/03/2020
1940,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,Border closure,Yes,,23/03/2020
3741,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,Curfews,No,Not available,23/03/2020
3742,Albania,ALB,,,Europe,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,Yes,Not available,23/03/2020
3740,Albania,ALB,,,Europe,Introduction / extension of measures,Lockdown,Partial lockdown,No,Not applicable,02/04/2020
36,Algeria,DZA,,,Africa,Introduction / extension of measures,Public health measures,Awareness campaigns,No,Not applicable,05/03/2020
37,Algeria,DZA,,,Africa,Introduction / extension of measures,Social distancing,Schools closure,No,Not applicable,12/03/2020
39,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Border checks,Yes,Not applicable,12/03/2020
40,Algeria,DZA,,,Africa,Introduction / extension of measures,Social distancing,Limit public gatherings,No,Not applicable,12/03/2020
962,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Border closure,No,,17/03/2020
1980,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Border closure,Yes,,17/03/2020
978,Algeria,DZA,,,Africa,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,,18/03/2020
961,Algeria,DZA,,,Africa,Introduction / extension of measures,Social distancing,Public services closure,No,,20/03/2020
963,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,International flights suspension,No,,20/03/2020
964,Algeria,DZA,,,Africa,Introduction / extension of measures,Public health measures,Awareness campaigns,No,,20/03/2020
1981,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,Yes,,22/03/2020
1982,Algeria,DZA,,,Africa,Introduction / extension of measures,Lockdown,Partial lockdown,Yes,,23/03/2020
1983,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Curfews,Yes,,23/03/2020
2427,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,No,Not available,23/03/2020
3743,Algeria,DZA,,,Africa,Introduction / extension of measures,Governance and socio-economic measures,Military deployment,Yes,Not available,23/03/2020
3744,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Curfews,Yes,Not available,27/03/2020
3745,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,International flights suspension,No,Not applicable,01/04/2020
3746,Algeria,DZA,,,Africa,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,No,Not applicable,01/04/2020
1073,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,,06/02/2020
1072,Angola,AGO,,,Africa,Introduction / extension of measures,Movement restrictions,Visa restrictions,Yes,,01/03/2020
41,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,Yes,Not applicable,03/03/2020
42,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,Refusal to enter the country,03/03/2020
1071,Angola,AGO,,,Africa,Introduction / extension of measures,Movement restrictions,Visa restrictions,Yes,,04/03/2020
48,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Awareness campaigns,No,Not applicable,11/03/2020
1070,Angola,AGO,,,Africa,Introduction / extension of measures,Movement restrictions,International flights suspension,No,,20/03/2020
1984,Angola,AGO,,,Africa,Introduction / extension of measures,Movement restrictions,International flights suspension,Yes,Not applicable,20/03/2020
1986,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,General recommendations,Yes,Not applicable,22/03/2020
1987,Angola,AGO,Namibe,,Africa,Introduction / extension of measures,Public health measures,Awareness campaigns,No,Not applicable,22/03/2020
1988,Angola,AGO,Luena City,,Africa,Introduction / extension of measures,Public health measures,Awareness campaigns,No,Not applicable,22/03/2020
1985,Angola,AGO,,,Africa,Introduction / extension of measures,Social distancing,Schools closure,Yes,Not applicable,23/03/2020
2773,Angola,AGO,,,Africa,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,,26/03/2020
2774,Angola,AGO,Lubango,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,26/03/2020
2775,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,26/03/2020
2776,Angola,AGO,,,Africa,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,Not applicable,26/03/2020
2780,Angola,AGO,,,Africa,Introduction / extension of measures,Lockdown,Lockdown of refugee/idp camps or other minorities,Yes,,26/03/2020
2767,Angola,AGO,,,Africa,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,No,Not available,27/03/2020
2768,Angola,AGO,,,Africa,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,No,Not available,27/03/2020
2769,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,27/03/2020
2770,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,Not applicable,27/03/2020
2771,Angola,AGO,Namibe,,Africa,Introduction / extension of measures,Movement restrictions,Border checks,Yes,Not applicable,27/03/2020
2772,Angola,AGO,,,Africa,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,Not applicable,27/03/2020
2777,Angola,AGO,,,Africa,Introduction / extension of measures,Social distancing,Public services closure,Yes,Not available,27/03/2020
2778,Angola,AGO,,,Africa,Introduction / extension of measures,Governance and socio-economic measures,Limit product imports/exports,No,Not available,27/03/2020
2779,Angola,AGO,,,Africa,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,No,Not available,27/03/2020
3413,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not available,27/03/2020
3407,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Awareness campaigns,No,Not applicable,28/03/2020
3408,Angola,AGO,Luanda,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,Not applicable,28/03/2020
3409,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,,29/03/2020
3410,Angola,AGO,Cuito,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,30/03/2020
3468,Angola,AGO,Cuanza Sul province,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,30/03/2020
3469,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,30/03/2020
4117,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Awareness campaigns,No,Arrest/Detention,01/04/2020
4118,Angola,AGO,Namibe,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,01/04/2020
4121,Angola,AGO,,,Africa,Introduction / extension of measures,Social distancing,Schools closure,Yes,Not applicable,01/04/2020
4119,Angola,AGO,Luanda province,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,02/04/2020
4120,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,General recommendations,Yes,Not applicable,02/04/2020
4122,Angola,AGO,northern Zaire province,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,02/04/2020
4123,Angola,AGO,,,Africa,Introduction / extension of measures,Social distancing,Changes in prison-related policies,Yes,Not applicable,02/04/2020
4124,Angola,AGO,Luanda,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,03/04/2020
4125,Angola,AGO,Luanda,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,Not applicable,03/04/2020
4126,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,Not applicable,03/04/2020
4127,Angola,AGO,,,Africa,Introduction / extension of measures,Public health measures,Awareness campaigns,No,Not applicable,03/04/2020
4128,Angola,AGO,,,Africa,Introduction / extension of measures,Social distancing,Limit public gatherings,Yes,Not applicable,04/04/2020
4129,Angola,AGO,,,Africa,Introduction / extension of measures,Social distancing,Limit public gatherings,Yes,Not applicable,05/04/2020
4130,Angola,AGO,,,Africa,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Yes,Not applicable,06/04/2020
4131,Angola,AGO,,,Africa,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,Not applicable,06/04/2020
4144,Angola,AGO,,,Africa,Introduction / extension of measures,Social distancing,Limit public gatherings,Yes,Not applicable,06/04/2020
982,Antigua and Barbuda,ATG,,,Americas,Introduction / extension of measures,Public health measures,Awareness campaigns,Yes,,03/03/2020
9,Antigua and Barbuda,ATG,,,Americas,Introduction / extension of measures,Public health measures,Awareness campaigns,No,,13/03/2020
1000,Antigua and Barbuda,ATG,,,Americas,Introduction / extension of measures,Social distancing,Schools closure,No,,15/03/2020
848,Antigua and Barbuda,ATG,,,Americas,Introduction / extension of measures,Social distancing,Limit public gatherings,No,Not available,16/03/2020
981,Antigua and Barbuda,ATG,,,Americas,Introduction / extension of measures,Social distancing,Limit public gatherings,Yes,,16/03/2020
1013,Antigua and Barbuda,ATG,,,Americas,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,No,,16/03/2020
1014,Antigua and Barbuda,ATG,,,Americas,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,,16/03/2020
228,Antigua and Barbuda,ATG,,,Americas,Introduction / extension of measures,Movement restrictions,Visa restrictions,Yes,Not applicable,
